Value,Distinctiveness
Species-rich native hedgerow with trees - associated with bank or ditch,V.High
Species-rich native hedgerow - associated with bank or ditch,High
Species-rich native hedgerow with trees,High
Species-rich native hedgerow,Medium
Native hedgerow with trees - associated with bank or ditch,High
Native hedgerow - associated with bank or ditch,Medium
Native hedgerow with trees,Medium
Native hedgerow,Low
Non-native and ornamental hedgerow,V.Low
Ecologically valuable line of trees - associated with bank or ditch,Medium
Ecologically valuable line of trees,Medium
Line of trees - associated with bank or ditch,Low
Line of trees,Low
To be created,N/A
N/A,N/A
