Habitat,Description
Non-native and ornamental hedgerow,Formally identified in local strategy
Non-native and ornamental hedgerow,Location ecologically desirable but not in local strategy
Non-native and ornamental hedgerow,Area/compensation not in local strategy/ no local strategy
Line of trees,Formally identified in local strategy
Line of trees,Location ecologically desirable but not in local strategy
Line of trees,Area/compensation not in local strategy/ no local strategy
Line of trees - associated with bank or ditch,Formally identified in local strategy
Line of trees - associated with bank or ditch,Location ecologically desirable but not in local strategy
Line of trees - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Ecologically valuable line of trees,Formally identified in local strategy
Ecologically valuable line of trees,Location ecologically desirable but not in local strategy
Ecologically valuable line of trees,Area/compensation not in local strategy/ no local strategy
Ecologically valuable line of trees - associated with bank or ditch,Formally identified in local strategy
Ecologically valuable line of trees - associated with bank or ditch,Location ecologically desirable but not in local strategy
Ecologically valuable line of trees - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Native hedgerow,Formally identified in local strategy
Native hedgerow,Location ecologically desirable but not in local strategy
Native hedgerow,Area/compensation not in local strategy/ no local strategy
Native hedgerow - associated with bank or ditch,Formally identified in local strategy
Native hedgerow - associated with bank or ditch,Location ecologically desirable but not in local strategy
Native hedgerow - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Native hedgerow with trees,Formally identified in local strategy
Native hedgerow with trees,Location ecologically desirable but not in local strategy
Native hedgerow with trees,Area/compensation not in local strategy/ no local strategy
Native hedgerow with trees - associated with bank or ditch,Formally identified in local strategy
Native hedgerow with trees - associated with bank or ditch,Location ecologically desirable but not in local strategy
Native hedgerow with trees - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Species-rich native hedgerow,Formally identified in local strategy
Species-rich native hedgerow,Location ecologically desirable but not in local strategy
Species-rich native hedgerow,Area/compensation not in local strategy/ no local strategy
Species-rich native hedgerow - associated with bank or ditch,Formally identified in local strategy
Species-rich native hedgerow - associated with bank or ditch,Location ecologically desirable but not in local strategy
Species-rich native hedgerow - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Species-rich native hedgerow with trees,Formally identified in local strategy
Species-rich native hedgerow with trees,Location ecologically desirable but not in local strategy
Species-rich native hedgerow with trees,Area/compensation not in local strategy/ no local strategy
Species-rich native hedgerow with trees - associated with bank or ditch,Formally identified in local strategy
Species-rich native hedgerow with trees - associated with bank or ditch,Location ecologically desirable but not in local strategy
Species-rich native hedgerow with trees - associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
To be created,N/A
N/A,N/A
