ID,New
Within area formally identified in local strategyRetained,Within area formally identified in local strategy
Within area formally identified in local strategyLost,N/A
Location ecologically desirable but not in local strategyRetained,Location ecologically desirable but not in local strategy
Location ecologically desirable but not in local strategyLost,N/A
Area/compensation not in local strategy/ no local strategyRetained,Area/compensation not in local strategy/ no local strategy
Area/compensation not in local strategy/ no local strategyLost,N/A
N/ACreated,Within area formally identified in local strategy
N/ACreated,Location ecologically desirable but not in local strategy
N/ACreated,Area/compensation not in local strategy/ no local strategy
