Habitat,Condition,Label
Canals,Fairly Good,2. Fairly Good
Ditches,Fairly Good,2. Fairly Good
Other rivers and streams,Fairly Good,2. Fairly Good
Priority habitat,Fairly Good,2. Fairly Good
Canals,Fairly Poor,4. Fairly Poor
Ditches,Fairly Poor,4. Fairly Poor
Other rivers and streams,Fairly Poor,4. Fairly Poor
Priority habitat,Fairly Poor,4. Fairly Poor
Canals,Good,1. Good
Ditches,Good,1. Good
Other rivers and streams,Good,1. Good
Priority habitat,Good,1. Good
Canals,Moderate,3. Moderate
Ditches,Moderate,3. Moderate
Other rivers and streams,Moderate,3. Moderate
Priority habitat,Moderate,3. Moderate
N/A,N/A,6. N/A
To be created,N/A,6. N/A
Canals,Poor,5. Poor
Culvert,Poor,5. Poor
Ditches,Poor,5. Poor
Other rivers and streams,Poor,5. Poor
Priority habitat,Poor,5. Poor
