Habitat,Significance
Canals,Area/compensation not in local strategy/ no local strategy
Culvert,Area/compensation not in local strategy/ no local strategy
Ditches,Area/compensation not in local strategy/ no local strategy
Other rivers and streams,Area/compensation not in local strategy/ no local strategy
Priority habitat,Area/compensation not in local strategy/ no local strategy
To be created,N/A
N/A,N/A
Canals,Location ecologically desirable but not in local strategy
Culvert,Location ecologically desirable but not in local strategy
Ditches,Location ecologically desirable but not in local strategy
Other rivers and streams,Location ecologically desirable but not in local strategy
Priority habitat,Location ecologically desirable but not in local strategy
Canals,Formally identified in local strategy
Culvert,Formally identified in local strategy
Ditches,Formally identified in local strategy
Other rivers and streams,Formally identified in local strategy
Priority habitat,Formally identified in local strategy
